p3.2xlarge_us-east-1f	p3.8xlarge_us-east-1d	p3.8xlarge_us-east-1f	p3.2xlarge_us-east-1d	p3.8xlarge_us-east-1c	p3.8xlarge_us-east-1b	p3.2xlarge_us-east-1c	p3.2xlarge_us-east-1b	p2.16xlarge_us-east-1b	p2.8xlarge_us-east-1a	p2.16xlarge_us-east-1c	p2.16xlarge_us-east-1a	p2.8xlarge_us-east-1b	p2.8xlarge_us-east-1c	p2.16xlarge_us-east-1d	p2.8xlarge_us-east-1f	p2.16xlarge_us-east-1e	p2.8xlarge_us-east-1d	p2.8xlarge_us-east-1e	p3.16xlarge_us-east-1f	p2.xlarge_us-east-1d	p2.xlarge_us-east-1e	p2.xlarge_us-east-1f	p3.16xlarge_us-east-1d	p2.xlarge_us-east-1b	p2.xlarge_us-east-1c	p3.16xlarge_us-east-1c	p2.xlarge_us-east-1a	p3.16xlarge_us-east-1b
0.9337			0.9548			0.9322	1.1439		2.16	4.8295	4.3531	2.2692	3.5078	4.32	5.5242		2.16	2.1926		0.3691	0.3767			0.3838	0.3725		0.375	
0.9325			0.955			0.9349	1.1407		2.16	4.8638	4.4187	2.2583	3.3918	4.32			2.16	2.1882		0.3679	0.3762			0.3819	0.3736		0.3747	
0.9336			0.9551			0.931	1.1439		2.16	4.546	4.32	2.2752	3.278	4.32			2.16	2.2112		0.3669	0.3751			0.3822	0.3716		0.3751	
0.9316			0.9615			0.9322	1.1422		2.16	4.4287	4.32	2.1674	3.2463	4.32			2.16	2.1763		0.3655	0.3733			0.3833	0.3674		0.3751	
0.9339			0.962			0.9281	1.1327		2.16	4.3466	4.32	2.16	3.0852	4.32			2.16	2.1808		0.3654	0.3723			0.3841	0.371		0.3757	
0.9297			0.966			0.93	1.1337		2.16	4.6973	4.32	2.16	2.9875	4.4729			2.16	2.1853		0.3654	0.372			0.3851	0.3692		0.375	
0.9304			0.9691			0.9259	1.1326			4.32	4.32	2.16	2.9217	4.5942			2.16	2.1684		0.3643	0.372			0.386	0.3712		0.3759	
0.929			0.9663			0.9242	1.1332			4.32	4.3928	2.16	2.6887	4.4759			2.16	2.1698		0.3626	0.3722			0.3876	0.3679		0.3761	
0.9285			0.9627			0.9196	1.1281			4.32	4.3969	2.16	2.8377	4.32			2.16	2.1673		0.3613	0.375			0.388	0.3701		0.3759	
0.9252			0.9618			0.9206	1.1257			4.32	4.3556	2.16	2.7767	4.5061			2.16	2.1697		0.3597	0.3747			0.3882	0.3701		0.3762	
0.9259			0.9596			0.9217	1.1225			4.32	4.3554	2.16	2.6887	4.392			2.16	2.1702		0.357	0.3743			0.388	0.3682		0.3759	
0.9268			0.9539			0.918	1.1198			4.32	4.32	2.16	2.6295	4.32			2.16	2.1666		0.3584	0.3751			0.3873	0.3684		0.3746	
0.9272			0.9546			0.9182	1.1025			4.32	4.32	2.16	2.6295	4.32			2.16	2.1633		0.3564	0.3721			0.3875	0.3699		0.3722	
0.9217			0.9575			0.9183	1.1138			4.32	4.32	2.16	2.452	4.32			2.16	2.16		0.3556	0.3709			0.3861	0.3681		0.3738	
0.9225			0.9575			0.918	1.1084			4.32	4.32	2.16	2.3666	4.32			2.16	2.16		0.3548	0.369			0.387	0.3682		0.3723	
0.9234			0.9573			0.918	1.1057			4.32	4.32	2.16	2.2986	4.32			2.16	2.16		0.3539	0.3727			0.3821	0.3652		0.3718	
0.9245			0.9527			0.918	1.0785			4.32	4.32	2.16	2.554	4.32			2.16	2.16		0.3528	0.3712			0.3795	0.367		0.3717	
0.919			0.9514			0.918	1.0822			4.32	4.32	2.16	2.16	4.32			2.16	2.16		0.3524	0.3692			0.3771	0.3684		0.3699	
0.9202			0.9492			0.918	1.0853				4.32	2.16	2.2068	4.3854			2.16	2.16		0.3513	0.3673			0.3763	0.3645		0.3683	
0.9208			0.9494			0.918	1.0923				4.32	2.16	2.207	4.3868			2.16	2.16		0.3512	0.3708			0.3747	0.3636		0.3675	
0.9217			0.9549			0.9336	1.0542				4.32	2.16	2.16	4.3209			2.16	2.16		0.3509	0.3701			0.3715	0.3657		0.369	
0.918			0.9499			0.9255	1.0712				4.32	2.16	2.16	4.32			2.16	2.16		0.3506	0.3687			0.3697	0.3649		0.3698	
0.918			0.9526			0.9311	1.0621				4.32	2.16	2.16	4.32			2.16	2.16		0.3475	0.3659			0.3725	0.3626		0.3715	
0.9184			0.9516			0.9217	1.0619				4.32	2.16	2.16	4.32			2.16	2.16		0.3493	0.3681			0.3717	0.362		0.3699	
0.9238			0.9545			0.9306	1.0479				4.32	2.16	2.16	4.32			2.16	2.16		0.3485	0.3728			0.3699	0.3633		0.3682	
0.9208			0.9532			0.9358	1.0435				4.32	2.16	2.16	4.32			2.16	2.1613		0.3505	0.3731			0.3683	0.3625		0.367	
0.9205			0.9497			0.9254	1.0542				4.32	2.16	2.16	4.32			2.16	2.1655		0.3468	0.3701			0.365	0.3627		0.3661	
0.9244			0.9497			0.9406	1.0396				4.32	2.16	2.16	4.32			2.16	2.1716		0.3461	0.3722			0.3644	0.364		0.3663	
0.9188			0.9465			0.9517	1.0409				4.32	2.16	2.16	4.32			2.16	2.16		0.3451	0.3685			0.3652	0.3598		0.3679	
0.918			0.9403			0.9493	1.0379				4.32	2.16	2.16	4.32			2.16	2.196		0.3445	0.3664			0.3668	0.3621		0.3671	
0.918			0.9411			0.9509	1.0349				4.32	2.16	2.16	4.32			2.16	2.1849		0.3445	0.3642			0.3652	0.3621		0.3652	
0.918			0.9423			0.9528	1.0356				4.32	2.16	2.16	4.32			2.16	2.1849		0.3443	0.3623			0.3654	0.3631		0.3634	
0.9204			0.9446			0.9523	1.0363				4.32	2.16	2.16	4.32			2.16	2.1869		0.3432	0.3623			0.3654	0.3638		0.3623	
0.9206			0.9371			0.952	1.0327				4.32	2.16	2.16	4.32			2.16	2.1849		0.3426	0.3592			0.3657	0.3611		0.3613	
0.9207			0.9329			0.9546	1.029				4.32	2.16	2.16	4.32			2.16	2.1888		0.3428	0.3596			0.3653	0.3622		0.3611	
0.9234			0.9341			0.9528	1.027				4.32	2.16	2.16	4.32				2.1852		0.3426	0.362			0.3652	0.3636		0.3611	
0.9263			0.9364			0.9499	1.0271				4.32	2.16	2.16	4.32				2.1826		0.3429	0.3664			0.3651	0.3651		0.3616	
0.9279			0.9297			0.9484	1.027				4.32	2.16	2.16	4.32				2.1844		0.3429	0.3672			0.3649	0.3655		0.3621	
0.9297			0.9312			0.9473	1.0272				4.32	2.16	2.16	4.32				2.1878		0.343	0.3676			0.3646	0.3679		0.3624	
0.9293			0.9317			0.9462	1.0266				4.32	2.16	2.16	4.32				2.1797		0.344	0.3687			0.3641	0.366		0.3631	
0.9304			0.9317			0.94	1.027				4.32	2.16	2.16	4.32				2.183		0.3439	0.368			0.3636	0.3667		0.3642	
0.9285			0.9304			0.9415	1.0264				4.32	2.16	2.16	4.32				2.1779		0.3446	0.3682			0.367	0.3686		0.3645	
0.9285			0.9303			0.94	1.0255				4.32	2.16	2.16	4.32				2.1736		0.3443	0.364			0.3664	0.3691		0.3639	
0.9314			0.9333			0.9434	1.0229				4.32	2.16	2.16	4.32				2.172		0.344	0.3641			0.3673	0.3671		0.3655	
0.932			0.9261			0.9428	1.022				4.32	2.16	2.16	4.32				2.1737		0.344	0.3648			0.3659	0.3673		0.364	
0.9324			0.9291			0.9397	1.0184				4.32	2.16	2.16	4.32				2.1757		0.3438	0.3651			0.3671	0.3691		0.3636	
0.9328			0.9255			0.9368	1.0152				4.32	2.16	2.16	4.32				2.1698		0.3437	0.3637			0.3669	0.3674		0.3648	
0.9328			0.9277			0.9366	1.015				4.32	2.16	2.16	4.32				2.1631		0.3441	0.366			0.3673	0.3677		0.3659	
0.9307			0.9255			0.9332	1.0145				4.32	2.16	2.16	4.32				2.1666		0.3432	0.3664			0.3672	0.3692		0.3643	
0.9323			0.9255			0.9305	1.0136				4.32		2.16	4.32				2.16		0.3433	0.3667			0.3666	0.3716		0.365	
0.9327			0.9213			0.9284	1.0033				4.32		2.16	4.32				2.16		0.3431	0.3659			0.3662	0.3694		0.3646	
0.9326			0.9202			0.9275	1.0058				4.32		2.16	4.32				2.16		0.3425	0.3651			0.3674	0.3705		0.3662	
0.9297			0.9198			0.9285	1.0067				4.32		2.16	4.32				2.16		0.3419	0.3648			0.3692	0.3701		0.3665	
0.9293			0.92			0.9254	1.009				4.32		2.16	4.32				2.16		0.3411	0.3662			0.3708	0.3717		0.3659	
0.9292			0.9205			0.9262	1.0023				4.32		2.16	4.32				2.16		0.3405	0.3675			0.3707	0.3689		0.3668	
0.9285			0.9231			0.9286	1.0011				4.32		2.16	4.32				2.16		0.3385	0.3656			0.37	0.3685		0.3661	
0.9322			0.9205			0.9283	1.0006				4.32			4.32				2.16		0.3394	0.3651			0.3683	0.3675		0.3649	
0.9288			0.9248			0.9346	0.9999				4.32			4.32				2.16		0.3401	0.364			0.3677	0.3646		0.3642	
0.9293			0.9232			0.9327	1.0005				4.32			4.32				2.16		0.3388	0.3646			0.3666	0.362		0.3621	
0.9274			0.9277			0.928	1.0018				4.32			4.32				2.16		0.3382	0.3658			0.366	0.3623		0.3623	
0.927			0.9301			0.9287	1.0021				4.32			4.32				2.16		0.3376	0.3655			0.367	0.3606		0.3634	
0.9304			0.9319			0.9294	0.9989				4.32			4.32				2.16		0.3379	0.3636			0.3651	0.3599		0.3618	
0.9274			0.9325			0.9273	0.9984							4.32				2.16		0.3378	0.363			0.3653	0.3614		0.3634	
0.927			0.9335			0.9284	0.9999							4.32				2.16		0.3373	0.3586			0.3659	0.3595		0.3619	
0.9255			0.9318			0.9266	1.0013							4.32				2.16		0.3371	0.36			0.3673	0.3594		0.3637	
0.9244			0.937			0.9296	1.0013							4.32						0.3372	0.3596			0.3678	0.3616		0.3626	
0.9238			0.9351			0.9294	0.9986							4.32						0.3382	0.3632			0.3676	0.3626		0.3638	
0.9253			0.9283			0.9255	0.9997							4.32						0.3382	0.3659			0.3682	0.3622		0.3633	
0.9228			0.9291			0.9246	1.0							4.32						0.3393	0.3686			0.3682	0.3622		0.3643	
0.9235			0.9349			0.9237	1.0							4.32						0.3391	0.3702			0.3692	0.3632		0.3664	
0.9233			0.9296			0.9223	1.0069							4.32						0.3392	0.3702			0.3707	0.3644		0.3664	
0.9251			0.9276			0.9309	1.0115							4.32						0.34	0.369			0.3715	0.366		0.3665	
0.926			0.9281			0.9224	1.0169													0.3393	0.3681			0.372	0.3659		0.3666	
0.9268			0.9243			0.9229	1.019													0.3398	0.366			0.3787	0.3671		0.3676	
0.9255			0.9266			0.9221	1.0195													0.3397	0.3672			0.3742	0.3697		0.373	
0.9334			0.925			0.939	1.0214													0.3393	0.3724			0.3759	0.3694		0.3678	
0.9305			0.9265			0.9457	1.0235													0.3405	0.3681			0.3772	0.3698		0.3702	
0.9388			0.9273			0.9485	1.0164													0.3405	0.3706			0.3787	0.3697		0.373	
0.9301			0.9274			0.9537	1.0133													0.3405	0.3724			0.3832	0.3699		0.3743	
0.9564			0.9273			0.9702	1.0164													0.3408	0.3744			0.3821	0.3699		0.3743	
0.9513			0.9262			0.9669	1.0156													0.3401	0.3744			0.3845	0.3691		0.3773	
0.9564			0.9236			0.9669	1.0127													0.3408	0.3809			0.3806	0.3684		0.3787	
0.942			0.9245			0.9593	1.0095													0.3406	0.3784			0.3857	0.3685		0.3797	
0.9462			0.9282			0.9657	1.0123													0.3412	0.3765			0.3872	0.3686		0.3769	
0.9513			0.9282			0.9702	1.011													0.3414	0.3829			0.388	0.3682		0.38	
0.9753			0.9249			0.9586	1.0071													0.342	0.3828			0.3884	0.3674		0.3804	
0.9779			0.9253			0.9691	1.0063													0.3398	0.3814			0.3889	0.3676		0.3805	
0.9665			0.9254			0.9613	1.0049													0.3398	0.3801			0.389	0.3668		0.3803	
0.9817			0.929			0.9731	1.0041													0.3392	0.3779			0.3894	0.3641		0.3782	
0.99			0.9321			0.9682	0.9931													0.3387	0.3792			0.3897	0.3654		0.3801	
0.9999			0.9341			0.9819	1.0021													0.3396	0.38			0.3889	0.3663		0.3801	
1.0053			0.936			0.9861	1.0021													0.3375	0.3779			0.3896	0.3676		0.3776	
1.006			0.9392			0.9896	0.9994													0.3376	0.3785			0.3909	0.3618		0.3795	
1.0055			0.9359			0.994	0.9964													0.3385	0.3771			0.3905	0.3613		0.3813	
1.0049			0.9378			0.9986	0.9949													0.3378	0.3771			0.3887	0.3613		0.3813	
1.0058			0.9394			1.0062	0.9937													0.3375	0.377			0.3896	0.3628		0.3789	
1.0038			0.9378			1.0102	0.9908													0.3371	0.3788			0.3855	0.3653		0.3867	
1.0046			0.9365			1.0138	0.9937													0.3376	0.3799			0.3852	0.3624		0.3843	
1.0051			0.9381			1.0153	0.9923													0.338	0.3874			0.3868	0.3643		0.384	
1.0053			0.932			1.0171	0.9912													0.3373	0.3818			0.3876	0.3653		0.3829	
1.0047			0.9347			1.0201	0.9973													0.3375	0.3838			0.3842	0.3649		0.3873	
1.003			0.9303			1.0169	1.0005													0.3375	0.3875			0.3842	0.3671		0.3861	
1.0008			0.9376			1.0201	1.0004													0.3369	0.3875			0.3827	0.3669		0.3832	
1.0016			0.9284			1.018	1.0038													0.3368	0.3871			0.3823	0.3688		0.3832	
1.0012			0.9301			1.0166	0.9996													0.337	0.3857			0.384	0.3688		0.3831	
0.9993			0.9259			1.018	0.9992													0.3398	0.3842			0.384	0.3676		0.3817	
0.9996			0.9303			1.0187	0.9997													0.3383	0.384			0.3817	0.3676		0.3829	
0.9995			0.9277			1.0189	1.0014													0.3379	0.3813			0.3826	0.3685		0.3801	
1.0			0.9291			1.0167	1.0025													0.3377	0.3797			0.3831	0.3688		0.3824	
1.0003			0.9254			1.0192	1.0022													0.3379	0.3797			0.3826	0.3685		0.3841	
1.0048			0.9238			1.0203	1.0028													0.3383	0.3813			0.3831	0.3686		0.3838	
1.009			0.9253			1.0167	1.0055													0.341	0.3809			0.3805	0.3697		0.3841	
1.0048			0.9219			1.0192	1.0179													0.3404	0.3809			0.38	0.3696		0.3824	
1.0003			0.9236			1.0203	1.0139													0.3405	0.3811			0.3797	0.3664		0.3816	
0.9984			0.9309			1.0204	1.0177													0.341	0.3794			0.3823	0.3651		0.383	
1.0016			0.9334			1.0216	1.0069													0.3425	0.3776			0.3843	0.3638		0.3836	
1.0021			0.9382			1.0257	1.0107													0.3399	0.3793			0.3847	0.3595		0.3825	
1.0021			0.9412			1.023	1.0193													0.3414	0.3814			0.3852	0.3624		0.3803	
1.0015			0.941			1.0139	1.0171													0.341	0.3826			0.3856	0.3596		0.3789	
0.9903			0.9567			1.0096	1.0189													0.3405	0.3832			0.386	0.3595		0.3775	
0.9943			0.9387			1.0065	1.0177													0.3393	0.3809			0.3859	0.361		0.3754	
0.9885			0.9449			1.0054	1.0197													0.3386	0.3783			0.386	0.3587		0.376	
0.9877			0.948			1.0055	1.0196													0.3386	0.376			0.3857	0.3604		0.3749	
0.9889			0.9567			1.0064	1.0211													0.339	0.3718			0.3854	0.3589		0.3741	
0.9891			0.948			1.0035	1.0171													0.339	0.3718			0.3853	0.3601		0.3749	
0.9908			0.9648			1.0042	1.0202													0.3381	0.3735			0.3868	0.3604		0.3724	
0.9874			0.9649			1.0016	1.023													0.3379	0.372			0.3886	0.3614		0.3712	
0.992			0.9648			1.0021	1.0258													0.3381	0.376			0.3887	0.362		0.3719	
0.9916			0.9682			1.0031	1.0329													0.34	0.3774			0.3879	0.3607		0.3737	
0.9933			0.9713			1.0039	1.0374													0.3407	0.3778			0.3871	0.3619		0.3809	
0.9914			0.977			1.0036	1.0462													0.3425	0.3794			0.3864	0.3596		0.3766	
0.9966			0.985			1.0038	1.0486													0.3414	0.3779			0.3869	0.3606		0.3778	
0.9965			0.9877			1.0026	1.0523													0.3411	0.375			0.3876	0.3607		0.3798	
0.9979			0.9882			0.9958	1.0638													0.3419	0.3775			0.3883	0.3621		0.3818	
0.998			0.9859			0.9963	1.0671													0.3414	0.379			0.3915	0.3646		0.3819	
1.0012			0.9875			0.9961	1.0638													0.3417	0.383			0.3927	0.3639		0.3818	
1.0026			0.9849			0.9972	1.0671													0.342	0.3855			0.4001	0.3627		0.3827	
1.0042			0.9912			0.997	1.0566													0.345	0.3861			0.3987	0.3625		0.3851	
1.0043			0.9909			0.9966	1.0612													0.3447	0.3862			0.3989	0.3643		0.3859	
1.0061			0.9878			1.0054	1.0816													0.3475	0.3869			0.4012	0.3626		0.3876	
1.0039			0.9968			1.005	1.1045													0.3467	0.3906			0.4022	0.3649		0.388	
1.0017			0.9976			1.0058	1.0976													0.3481	0.3902			0.4032	0.3634		0.3865	
0.9966			0.9924			1.0032	1.0905													0.3486	0.3861			0.4031	0.3655		0.3876	
0.9942			1.0029			1.0023	1.1189													0.349	0.3863			0.4008	0.3646		0.3882	
0.9919			0.998			1.0014	1.1338													0.3482	0.3859			0.3982	0.3635		0.3877	
0.9996			1.0023			1.0	1.1289													0.3491	0.3864			0.3968	0.3633		0.3858	
0.9895			1.0023			0.9981	1.1267													0.3482	0.385			0.3955	0.3656		0.3854	
0.9877			1.0107			0.998	1.1129													0.3489	0.383			0.3924	0.3654		0.3848	
0.9855			1.0081			0.9974	1.1173													0.3513	0.3857			0.3955	0.3654		0.3844	
0.9841			1.007			1.0015	1.1209													0.35	0.3809			0.3901	0.3599		0.3814	
0.9808			1.0166			0.9971	1.1102													0.3492	0.38			0.3911	0.3603		0.3818	
0.9825			1.0107			0.9986	1.1036													0.3491	0.3807			0.3944	0.3631		0.3834	
0.9797			1.0081			0.9993	1.1042													0.3544	0.383			0.3896	0.3627		0.3848	
0.9791			1.0112			1.0012	1.1066													0.3525	0.3826			0.3885	0.361		0.3823	
0.994			1.0058			1.0045	1.1036													0.3524	0.3813			0.3884	0.3599		0.3809	
0.9818			1.0047			1.0048	1.1058													0.3568	0.3838			0.3889	0.3595		0.3795	
0.9908			0.9987			1.0069	1.1054													0.3603	0.3833			0.3893	0.3594		0.3794	
0.9871			0.9897			1.014	1.1043													0.3588	0.3841			0.3884	0.3592		0.3851	
1.0094			0.9949			1.0123	1.1073													0.3577	0.384			0.3877	0.3606		0.3887	
1.0126			0.9888			1.0122	1.1128													0.3612	0.3886			0.3886	0.3627		0.3858	
1.0061			0.9883			1.0124	1.1167													0.3618	0.3867			0.3885	0.3633		0.3834	
0.9999			0.9925			1.0115	1.1102													0.3623	0.3895			0.3865	0.367		0.3835	
1.0098			0.9927			1.0123	1.1249													0.3641	0.3875			0.3852	0.3654		0.3838	
1.0113			0.9929			1.0082	1.1363													0.3664	0.3863			0.3886	0.364		0.3866	
1.0139			0.9918			1.0095	1.1409													0.3675	0.386			0.394	0.3636		0.385	
1.0136			0.9932			1.0167	1.1335													0.3664	0.3868			0.3956	0.364		0.3849	
1.0077			0.99			1.0076	1.1335													0.3669	0.3845			0.394	0.3656		0.3844	
1.0113			0.9871			1.0224	1.1363													0.3664	0.3868			0.3928	0.367		0.3871	
1.0161			0.9852			1.0167	1.1409													0.3664	0.3866			0.3907	0.3663		0.3844	
1.0161			0.9878			1.014	1.1457													0.3666	0.3881			0.3998	0.3673		0.3852	
1.0079			0.9931			1.0189	1.1621													0.3661	0.3852			0.3986	0.3677		0.3848	
1.0126			0.986			1.0191	1.1641													0.3652	0.3865			0.3981	0.368		0.3853	
1.0071			0.9877			1.015	1.1583													0.3659	0.3852			0.3974	0.3628		0.3848	
1.0075			0.9926			1.0131	1.155													0.3655	0.3873			0.4047	0.3625		0.3849	
1.0062			0.9923			1.011	1.1695													0.3646	0.3857			0.4035	0.3637		0.3858	
1.004			0.9917			1.0084	1.1759													0.3645	0.3854			0.4023	0.3628		0.3837	
1.0034			0.9943			1.0076	1.1869													0.3639	0.3859			0.4015	0.3653		0.3848	
0.9994			0.999			1.0062	1.2003													0.364	0.3859			0.4154	0.3624		0.3843	
1.0022			1.0013			1.0073	1.2062													0.3635	0.3881			0.4101	0.3624		0.3848	
1.0038			1.0005			1.0038	1.2153													0.3635	0.3835			0.4188	0.3617		0.3846	
1.001			1.0017			1.0061	1.2211													0.364	0.3888			0.423	0.3617		0.3839	
1.0033			0.9996			1.0043	1.2179													0.3633	0.3849			0.4325	0.3625		0.3831	
0.9995			0.996			1.0062	1.2215													0.362	0.3851			0.4325	0.3651		0.3847	
1.0049			0.9973			1.007	1.2232													0.3615	0.3841			0.4393	0.3666		0.3823	
1.0048			0.9987			1.0058	1.2211													0.3607	0.3841			0.4393	0.3647		0.3823	
1.0032			0.9946			1.0115	1.2227													0.3576	0.3836			0.4269	0.3598		0.3841	
1.0013			0.9942			1.012	1.2251													0.3564	0.3849			0.4452	0.364		0.3841	
1.0126			0.9945			1.0061	1.2241													0.3597	0.3821			0.4508	0.3616		0.3836	
1.0144			0.9923			1.0137	1.221													0.3552	0.3804			0.4499	0.3599		0.383	
1.0057			0.9924			1.0083	1.2079													0.3539	0.3815			0.4527	0.3592		0.3828	
1.0009			0.9914			1.0064	1.2152													0.3533	0.3845			0.4563	0.3598		0.3825	
1.003			0.9911			1.0117	1.201													0.3529	0.3839			0.4543	0.359		0.3822	
1.0089			0.9919			1.0122	1.2116													0.3527	0.3804			0.457	0.3592		0.3838	
1.0096			0.9913			1.0092	1.1891													0.3517	0.3809			0.4529	0.3517		0.3824	
1.0145			0.9966			1.0053	1.195													0.3508	0.3811			0.4602	0.3506		0.3804	
1.0106			0.9979			1.003	1.1644													0.3505	0.3807			0.4574	0.3567		0.3798	
1.0065			0.9985			1.0037	1.1679													0.3498	0.3827			0.4549	0.3582		0.3819	
1.0033			1.0032			0.9907	1.1701													0.3484	0.3837			0.4428	0.3534		0.3829	
1.0041			1.0098			0.9907	1.1472													0.3474	0.3847			0.4309	0.3483		0.3832	
0.9947			1.0066			0.9928	1.157													0.348	0.3848			0.4219	0.3467		0.3839	
0.9966			1.0099			0.9963	1.153													0.3473	0.3836			0.4103	0.3491		0.3851	
1.0007			1.0129			1.0014	1.14														0.383			0.4007	0.3503		0.385	
0.9947			1.0095			0.9946	1.1337														0.3854			0.3996	0.3508		0.3835	
0.9959			1.01			0.9975	1.1277														0.3853			0.4031	0.352		0.3825	
1.0024			1.0108			1.0014	1.1218														0.3796			0.3955			0.3817	
1.0084			1.025			1.0042	1.118														0.3818			0.3976			0.3812	
1.0129			1.0193			1.008	1.1119														0.3838			0.3933			0.3813	
1.0158			1.0193			1.0201	1.1153														0.3806			0.3927			0.3823	
1.0251			1.0216			1.0137	1.1074														0.3784						0.3816	
1.0318			1.0152				1.1036																				0.3809	
			1.0198				1.0924																					
			1.0212				1.087																					
			1.0145				1.1007																					
			1.0119				1.0852																					
			1.0115				1.08																					
			1.0065				1.0756																					
			1.0089				1.0727																					
			1.0048				1.0696																					
			1.0038				1.0651																					
			1.0029				1.0614																					
			1.0036				1.0561																					
			1.0059				1.0412																					
			1.01				1.0495																					
			1.0155				1.0495																					
			1.0212				1.0458																					
			1.0251				1.0532																					
			1.0279				1.0379																					
			1.0304				1.0335																					
			1.0276				1.03																					
			1.0274				1.0262																					
			1.0329				1.0217																					
			1.0362				1.0173																					
			1.0249				1.016																					
			1.0364				1.0131																					
			1.036				1.0076																					
			1.0375				1.0096																					
			1.0374				1.0088																					
			1.0342				1.0108																					
			1.024				1.0059																					
			1.0279				1.0041																					
			1.0303				1.0012																					
			1.024				1.0178																					
			1.029				1.0082																					
			1.044				1.0189																					
			1.0606				1.0156																					
			1.0721				1.0131																					
			1.0829				1.014																					
			1.0931				1.0115																					
			1.1059				1.0127																					
							1.0092																					
							1.0061																					
							1.0043																					
							1.0025																					
							1.0027																					
							1.0027																					
							1.0036																					
							1.007																					
							1.0044																					
							1.0046																					
							1.009																					
							1.0122																					
							1.0165																					
							1.0195																					
							1.0214																					
							1.0274																					
